resume_text,job_description_text,label
"UI specialist with a passion for modern web technologies, including javascript, vue, agile methodologies, html.","Join our UI team! We are looking for a developer with experience in javascript, communication, teamwork, html, typescript.",Fit
"Cloud infrastructure expert with skills in docker, linux, aws, communication, terraform, ci/cd, teamwork.","We are looking for a Machine Learning expert to join our data team. Must know statistics, agile methodologies, scikit-learn, python.",No Fit
"Frontend engineer focused on performance and user experience. Expertise in communication, agile methodologies, vue, javascript, teamwork, typescript.","Join our UI team! We are looking for a developer with experience in html, communication, vue, react, javascript, teamwork, problem-solving, css.",Fit
"Creative Frontend Developer skilled in building responsive user interfaces with agile methodologies, css, vue, typescript, javascript, communication, html, teamwork, react.","Join our UI team! We are looking for a developer with experience in teamwork, react, html, typescript, javascript, css, vue.",Fit
"Creative Frontend Developer skilled in building responsive user interfaces with react, html, css, communication, typescript, agile methodologies, problem-solving, javascript.","Join our cloud team! We require knowledge of ci/cd, linux, terraform, docker, aws, teamwork, kubernetes, leadership.",No Fit
"Data Scientist with a proven track record of building predictive models using tensorflow, python, leadership, sql, communication, teamwork.","Data Scientist role available. The candidate must be proficient in python, statistics, pandas, tensorflow, agile methodologies, teamwork.",Fit
"Frontend engineer focused on performance and user experience. Expertise in vue, css, problem-solving, javascript, typescript, html.","Seeking a skilled Software Engineer for a backend role. Requirements include leadership, problem-solving, apis, sql, django, git, agile methodologies, python.",No Fit
"Data Scientist with a proven track record of building predictive models using agile methodologies, python, scikit-learn, tensorflow, statistics, problem-solving, leadership, sql, pandas.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with kubernetes, linux, docker, leadership is mandatory.",No Fit
"Data Scientist with a proven track record of building predictive models using tensorflow, sql, teamwork, pandas, leadership, statistics, problem-solving.","Looking for a Frontend Developer proficient in css, vue, typescript, communication, problem-solving, teamwork to build our next-gen UI.",No Fit
"Software engineer specializing in backend development with Python. Proficient in agile methodologies, python, git, sql, flask, communication.","Seeking a skilled Software Engineer for a backend role. Requirements include flask, python, git, sql, django, communication, apis.",Fit
"Frontend engineer focused on performance and user experience. Expertise in css, teamwork, typescript, javascript, problem-solving.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with communication, ci/cd, agile methodologies, aws, docker, teamwork is mandatory.",No Fit
"Cloud infrastructure expert with skills in ci/cd, problem-solving, docker, agile methodologies, teamwork, terraform.","Join our cloud team! We require knowledge of terraform, linux, kubernetes, ci/cd, teamwork, communication, problem-solving.",Fit
"Experienced Python Developer with a strong background in django, communication, flask, apis seeking a challenging role.","Join our UI team! We are looking for a developer with experience in vue, css, communication, react.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using sql, pandas, statistics, python, teamwork.","Job opening for a Python programmer. The ideal candidate will know flask, communication, python, git.",No Fit
"Experienced Python Developer with a strong background in sql, flask, agile methodologies, leadership, apis, django, problem-solving, python seeking a challenging role.","Job opening for a Python programmer. The ideal candidate will know communication, problem-solving, agile methodologies, sql, django, python.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using teamwork, leadership, pandas, scikit-learn, sql.","We are hiring a Python Developer to join our team. Must have experience with sql, python, git, agile methodologies, flask.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using scikit-learn, tensorflow, statistics, communication, leadership.","Hiring a Data Scientist to analyze large datasets. Required skills include pandas, communication, statistics, tensorflow, agile methodologies, python, scikit-learn, problem-solving.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using leadership, teamwork, scikit-learn, python, tensorflow, sql.","Data Scientist role available. The candidate must be proficient in statistics, teamwork, python, scikit-learn, tensorflow, pandas.",Fit
"Analytical professional with expertise in machine learning and data analysis. Skilled in agile methodologies, teamwork, tensorflow, sql, scikit-learn.","Seeking a skilled Software Engineer for a backend role. Requirements include sql, apis, git, leadership, django.",No Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using kubernetes, linux, agile methodologies, teamwork, aws, docker.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with terraform, problem-solving, ci/cd, docker, linux, agile methodologies is mandatory.",Fit
"UI specialist with a passion for modern web technologies, including javascript, vue, communication, typescript, html, css.","Hiring a Data Scientist to analyze large datasets. Required skills include statistics, tensorflow, python, problem-solving, pandas, scikit-learn, sql.",No Fit
"Frontend engineer focused on performance and user experience. Expertise in react, css, html, javascript, problem-solving, communication, agile methodologies.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with agile methodologies, ci/cd, problem-solving, terraform, teamwork, docker is mandatory.",No Fit
"Certified Cloud Engineer with extensive experience in deploying and managing infrastructure using docker, kubernetes, terraform, problem-solving, linux, ci/cd, leadership.","Looking for a Frontend Developer proficient in javascript, html, react, typescript, vue, problem-solving, css to build our next-gen UI.",No Fit
"Detail-oriented developer with expertise in creating web applications using git, python, leadership, communication, sql.","We are looking for a Machine Learning expert to join our data team. Must know problem-solving, teamwork, pandas, python, tensorflow, agile methodologies, sql, statistics, scikit-learn.",No Fit
"Detail-oriented developer with expertise in creating web applications using sql, problem-solving, django, leadership, python, agile methodologies.","Join our cloud team! We require knowledge of linux, aws, ci/cd, teamwork, terraform.",No Fit
"Detail-oriented developer with expertise in creating web applications using apis, problem-solving, git, communication, python, sql, django.","Looking for a Frontend Developer proficient in react, vue, html, problem-solving, javascript, css to build our next-gen UI.",No Fit
"Analytical professional with expertise in machine learning and data analysis. Skilled in sql, problem-solving, statistics, python, scikit-learn.","Urgent hiring for a React Developer. Must have a strong command of agile methodologies, css, html, leadership, vue, communication, react.",No Fit
"UI specialist with a passion for modern web technologies, including html, teamwork, typescript, react, javascript, css, vue.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with communication, docker, terraform, kubernetes, teamwork is mandatory.",No Fit
"Software engineer specializing in backend development with Python. Proficient in flask, apis, teamwork, communication, sql, django, git, python, leadership.","Data Scientist role available. The candidate must be proficient in scikit-learn, teamwork, python, leadership, statistics, tensorflow, pandas, sql.",No Fit
"Frontend engineer focused on performance and user experience. Expertise in javascript, vue, html, problem-solving, css, react.","Looking for a Frontend Developer proficient in react, vue, javascript, teamwork, css to build our next-gen UI.",Fit
"Analytical professional with expertise in machine learning and data analysis. Skilled in problem-solving, sql, pandas, tensorflow, python, communication, statistics.","Job opening for a Python programmer. The ideal candidate will know git, agile methodologies, sql, flask, apis, django.",No Fit
"Software engineer specializing in backend development with Python. Proficient in teamwork, sql, agile methodologies, leadership, flask, python.","Hiring a Data Scientist to analyze large datasets. Required skills include pandas, teamwork, problem-solving, scikit-learn, tensorflow, statistics.",No Fit
"Detail-oriented developer with expertise in creating web applications using agile methodologies, problem-solving, leadership, sql, git, django, flask, python, apis.","Job opening for a Python programmer. The ideal candidate will know problem-solving, git, django, flask, leadership, teamwork.",Fit
"Software engineer specializing in backend development with Python. Proficient in agile methodologies, git, leadership, sql, communication, flask.","DevOps Engineer needed. Must have hands-on experience with linux, ci/cd, docker, leadership, terraform, aws.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using pandas, leadership, python, scikit-learn.","Join our UI team! We are looking for a developer with experience in typescript, css, leadership, react, problem-solving, communication, vue.",No Fit
"UI specialist with a passion for modern web technologies, including react, communication, html, javascript, vue, css.","Looking for a Frontend Developer proficient in react, teamwork, communication, vue, javascript, typescript, css, html to build our next-gen UI.",Fit
"Cloud infrastructure expert with skills in kubernetes, problem-solving, linux, ci/cd, terraform, docker.","Hiring a Data Scientist to analyze large datasets. Required skills include statistics, leadership, agile methodologies, tensorflow, scikit-learn, problem-solving, sql, python.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using python, sql, problem-solving, tensorflow, statistics.","Data Scientist role available. The candidate must be proficient in tensorflow, teamwork, statistics, pandas, agile methodologies, sql, problem-solving, python, scikit-learn.",Fit
"Machine learning engineer with a focus on delivering data-driven insights using leadership, tensorflow, agile methodologies, python, pandas, statistics, teamwork.","Hiring a Data Scientist to analyze large datasets. Required skills include python, problem-solving, scikit-learn, sql, tensorflow, pandas.",Fit
"Creative Frontend Developer skilled in building responsive user interfaces with css, typescript, problem-solving, javascript, vue, html.","Join our UI team! We are looking for a developer with experience in leadership, css, problem-solving, javascript, html.",Fit
"Analytical professional with expertise in machine learning and data analysis. Skilled in pandas, problem-solving, scikit-learn, sql, agile methodologies.","We are hiring a Python Developer to join our team. Must have experience with git, django, communication, sql, apis, python, teamwork, flask.",No Fit
"Cloud infrastructure expert with skills in aws, docker, ci/cd, linux, leadership.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with linux, agile methodologies, ci/cd, docker, kubernetes, teamwork, terraform, leadership, aws is mandatory.",Fit
"Cloud infrastructure expert with skills in leadership, linux, communication, teamwork, aws, kubernetes, docker.","Join our cloud team! We require knowledge of terraform, kubernetes, leadership, teamwork, ci/cd.",Fit
"Cloud infrastructure expert with skills in leadership, agile methodologies, linux, aws, docker, communication, kubernetes.","Data Scientist role available. The candidate must be proficient in statistics, agile methodologies, teamwork, python, pandas, sql, scikit-learn.",No Fit
"Machine learning engineer with a focus on delivering data-driven insights using scikit-learn, agile methodologies, tensorflow, statistics, problem-solving, communication, sql.","Data Scientist role available. The candidate must be proficient in leadership, statistics, scikit-learn, agile methodologies, sql, communication.",Fit
"UI specialist with a passion for modern web technologies, including react, vue, typescript, leadership.","Hiring a Data Scientist to analyze large datasets. Required skills include agile methodologies, statistics, scikit-learn, sql, communication, teamwork, tensorflow.",No Fit
"UI specialist with a passion for modern web technologies, including problem-solving, css, leadership, javascript, html.","Seeking a skilled Software Engineer for a backend role. Requirements include python, communication, django, sql.",No Fit
"Creative Frontend Developer skilled in building responsive user interfaces with css, vue, leadership, agile methodologies, javascript, react.","Join our cloud team! We require knowledge of linux, kubernetes, aws, ci/cd, terraform, problem-solving, docker.",No Fit
"Cloud infrastructure expert with skills in problem-solving, linux, ci/cd, docker.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with communication, ci/cd, docker, terraform, leadership is mandatory.",Fit
"Software engineer specializing in backend development with Python. Proficient in problem-solving, python, leadership, sql, teamwork, flask.","Seeking a skilled Software Engineer for a backend role. Requirements include apis, sql, communication, flask, python, git, django, problem-solving.",Fit
"Frontend engineer focused on performance and user experience. Expertise in javascript, vue, typescript, teamwork, leadership, html.","Data Scientist role available. The candidate must be proficient in teamwork, tensorflow, problem-solving, pandas, scikit-learn, python.",No Fit
"DevOps professional specializing in cloud automation and containerization with linux, kubernetes, terraform, docker, aws, communication.","Looking for a Frontend Developer proficient in react, typescript, agile methodologies, communication, vue to build our next-gen UI.",No Fit
"UI specialist with a passion for modern web technologies, including css, react, javascript, typescript, problem-solving, vue, agile methodologies, html, teamwork.","We are looking for a Machine Learning expert to join our data team. Must know teamwork, pandas, statistics, leadership, agile methodologies, tensorflow, sql, python, scikit-learn.",No Fit
"Creative Frontend Developer skilled in building responsive user interfaces with css, typescript, teamwork, html, react, agile methodologies, vue, problem-solving.","Join our UI team! We are looking for a developer with experience in javascript, typescript, html, problem-solving, leadership, react, vue, css.",Fit
"UI specialist with a passion for modern web technologies, including javascript, css, typescript, agile methodologies, vue.","Join our cloud team! We require knowledge of kubernetes, aws, problem-solving, ci/cd, docker, linux.",No Fit
"Detail-oriented developer with expertise in creating web applications using apis, python, flask, leadership, django, agile methodologies, sql, problem-solving.","Join our cloud team! We require knowledge of communication, aws, problem-solving, leadership, linux, terraform.",No Fit
"Creative Frontend Developer skilled in building responsive user interfaces with typescript, css, react, agile methodologies, javascript, vue.","DevOps Engineer needed. Must have hands-on experience with aws, teamwork, agile methodologies, terraform, kubernetes, ci/cd, docker.",No Fit
"Cloud infrastructure expert with skills in ci/cd, teamwork, agile methodologies, terraform, linux, kubernetes, aws, docker.","Join our cloud team! We require knowledge of communication, terraform, kubernetes, ci/cd, docker.",Fit
"Detail-oriented developer with expertise in creating web applications using flask, django, sql, teamwork, leadership, python.","We are hiring a Python Developer to join our team. Must have experience with python, django, git, sql, flask, apis, agile methodologies.",Fit
"UI specialist with a passion for modern web technologies, including teamwork, vue, html, react, leadership, agile methodologies, css.","Join our cloud team! We require knowledge of communication, terraform, kubernetes, docker, aws, linux, ci/cd, teamwork.",No Fit
"Cloud infrastructure expert with skills in agile methodologies, kubernetes, terraform, communication, ci/cd.","Seeking a skilled Software Engineer for a backend role. Requirements include teamwork, sql, git, python, apis, agile methodologies, flask, leadership, django.",No Fit
"UI specialist with a passion for modern web technologies, including react, vue, typescript, problem-solving, css, agile methodologies, html, teamwork, javascript.","Looking for a Frontend Developer proficient in javascript, teamwork, react, typescript, vue, communication to build our next-gen UI.",Fit
"Software engineer specializing in backend development with Python. Proficient in communication, sql, git, python.","Seeking a Cloud Engineer to manage our AWS infrastructure. Experience with teamwork, problem-solving, kubernetes, aws, linux is mandatory.",No Fit
